title,genre,language,imdb_score,premiere,runtime,year
Notes for My Son,Drama,Spanish,6.3,11/24/2020,83,2020
"To Each, Her Own",Romantic comedy,French,5.3,6/24/2018,95,2018
The Lovebirds,Romantic comedy,English,6.1,5/22/2020,87,2020
The Perfection,Horror-thriller,English,6.1,5/24/2019,90,2019
Happy Anniversary,Romantic comedy,English,5.8,3/30/2018,78,2018
Why Did You Kill Me?,Documentary,English,5.6,4/14/2021,83,2021
Death to 2020,Comedy,English,6.8,12/27/2020,70,2020
Brene Brown: The Call to Courage,Documentary,English,7.7,4/19/2019,76,2019
Operation Christmas Drop,Romantic comedy,English,5.8,11/5/2020,96,2020
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,English,6.9,5/23/2019,30,2019
Porta dos Fundos: The First Temptation of Christ,Comedy,Portuguese,4.6,12/3/2019,46,2019
El Pepe: A Supreme Life,Documentary,Spanish,7.1,12/27/2019,73,2019
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,English/Mandarin,7.3,10/14/2016,79,2016
"Out of Many, One",Documentary,English,5.7,12/12/2018,34,2018
If Anything Happens I Love You,Animation / Short,English,7.8,11/20/2020,12,2020
Polar,Action,English,6.3,1/25/2019,118,2019
Shimmer Lake,Crime thriller,English,6.3,6/9/2017,86,2017
In the Tall Grass,Horror,English,5.4,10/4/2019,101,2019
Pieces of a Woman,Drama,English,7.1,1/7/2021,126,2021
The Knight Before Christmas,Romantic comedy,English,5.5,11/21/2019,92,2019
Unicorn Store,Comedy,English,5.5,4/5/2019,92,2019
Our Souls at Night,Romance,English,6.9,9/29/2017,103,2017
Birders,Documentary,English/Spanish,6.4,9/25/2019,37,2019
Christmas Crossfire,Thriller,German,4.8,12/4/2020,106,2020
Shawn Mendes: In Wonder,Documentary,English,6.6,11/23/2020,83,2020
"Game Over, Man!",Action/Comedy,English,5.4,3/23/2018,101,2018
Icarus,Documentary,English,7.9,8/4/2017,120,2017
Forgive Us Our Debts,Drama,Italian,6,5/4/2018,104,2018
Clinical,Thriller,English,5.1,1/13/2017,104,2017
Crazy About Her,Romantic comedy,Spanish,6.6,2/26/2021,102,2021
Night in Paradise,Drama,Korean,6.7,4/9/2021,132,2021
Parchis: The Documentary,Documentary,Spanish,6.7,7/10/2019,106,2019
The Siege of Jadotville,War,English,7.2,10/7/2016,108,2016
I Am All Girls,Thriller,English,5.8,5/14/2021,107,2021
Fyre: The Greatest Party That Never Happened,Documentary,English,7.2,1/18/2019,97,2019
In the Shadow of the Moon,Thriller,English,6.2,9/27/2019,115,2019
"Ariana Grande: Excuse Me, I Love You",Concert Film,English,6.4,12/21/2020,97,2020
